original_path,new_path,lines_before,lines_after,category
Scripts/EFObj.cs,Scripts/04_Gameplay/CombatEffects/EFObj.cs,49,49,04_Gameplay/CombatEffects
Scripts/Ladder.cs,Scripts/01_Gameplay/World/Ladder.cs,35,35,01_Gameplay/World
Scripts/PlantZombie.cs,Scripts/03_Gameplay/Zombies/PlantZombie.cs,389,389,03_Gameplay/Zombies
Scripts/ToolType.cs,Scripts/09_Types/ToolType.cs,6,6,09_Types
Scripts/SlimeZombie.cs,Scripts/03_Gameplay/Zombies/SlimeZombie.cs,329,329,03_Gameplay/Zombies
Scripts/LVManager.cs,Scripts/01_Gameplay/World/LVManager.cs,2877,2877,01_Gameplay/World
Scripts/FrontYard.cs,Scripts/01_Gameplay/World/FrontYard.cs,766,766,01_Gameplay/World
Scripts/GloomShroom.cs,Scripts/02_Gameplay/Plants/GloomShroom.cs,69,69,02_Gameplay/Plants
Scripts/UmbrellaleafZombie.cs,Scripts/03_Gameplay/Zombies/UmbrellaleafZombie.cs,80,80,03_Gameplay/Zombies
Scripts/AwardScence.cs,Scripts/08_UI/AwardScence.cs,89,89,08_UI
Scripts/MapBase.cs,Scripts/01_Gameplay/World/MapBase.cs,708,708,01_Gameplay/World
Scripts/DoomShroomZombie.cs,Scripts/03_Gameplay/Zombies/DoomShroomZombie.cs,111,111,03_Gameplay/Zombies
Scripts/LawnMower.cs,Scripts/01_Gameplay/World/LawnMower.cs,271,271,01_Gameplay/World
Scripts/Pot.cs,Scripts/02_Gameplay/Plants/Pot.cs,20,20,02_Gameplay/Plants
Scripts/UIManager.cs,Scripts/00_Core/UIManager.cs,791,791,00_Core
Scripts/TrackBullet.cs,Scripts/04_Gameplay/CombatEffects/TrackBullet.cs,203,203,04_Gameplay/CombatEffects
Scripts/PuffShroom.cs,Scripts/02_Gameplay/Plants/PuffShroom.cs,66,66,02_Gameplay/Plants
Scripts/ZombieChooser.cs,Scripts/08_UI/ZombieChooser.cs,520,520,08_UI
Scripts/SquashZombie.cs,Scripts/03_Gameplay/Zombies/SquashZombie.cs,191,191,03_Gameplay/Zombies
